id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"KTA-CARDAMOM-POWDER","Stone Milled Green Cardamom Powder","Whole-pod stone milled green cardamom powder with natural essential oils. HSN: 09083200. Sourced & graded by KTA alone.","in stock","new","2950 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/cardamompowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-BLACK-CARDAMOM","Large Hill Black Cardamom (Badi Elaichi)","Smoked sun-cured hill black cardamom pods. HSN: 09083110. Sourced & graded by KTA alone. Essential for royal dum biryani and rich gravies.","in stock","new","1450 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/blackcardamom.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-WHITE-CARDAMOM","Bleached / Decorticated White Cardamom","Delicate aromatic bleached white cardamom pods. HSN: 09083120. Sourced & graded by KTA alone for delicate sweets and bakery.","in stock","new","2400 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/whitecardamom.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-DRY-GINGER-WHOLE","Cochin Sun-Cured Dry Ginger (Unbleached)","Premium Cochin whole dry ginger rhizomes. HSN: 09101110. Sourced & graded by KTA alone with sharp gingerol pungency.","in stock","new","460 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/DryGinger.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-DRY-GINGER-POWDER","Pure Sun-Dried Sonth Ginger Powder","Finely ground unbleached dry ginger powder (Sonth). HSN: 09101200. Sourced & graded by KTA alone for marinades and chai blends.","in stock","new","490 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/gingerpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CORIANDER-SEEDS","Whole Green Coriander Seeds (Dhania Whole)","Sortex-cleaned whole coriander seeds. HSN: 09092190. Sourced & graded by KTA alone for crisp citrusy aroma and curry bases.","in stock","new","175 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/coriander.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-DHANIA-POWDER","Cold-Milled Coriander Powder (Dhania Powder)","Cold-milled fragrant coriander powder. HSN: 09092200. Sourced & graded by KTA alone. Single-origin unadulterated ground aroma.","in stock","new","195 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/corianderpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-JEERA-SEEDS","Machine-Cleaned Cumin Seeds (Jeera Whole)","99.5% machine-cleaned whole cumin seeds. HSN: 09093129. Sourced & graded by KTA alone. Rich essential cumin oil.","in stock","new","380 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/jeera.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-JEERA-POWDER","Stone-Milled Jeera Cumin Powder","Aromatic ground cumin powder stone-milled from pure seed lots. HSN: 09093200. Sourced & graded by KTA alone.","in stock","new","420 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/JeeraPowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-SHAHI-JEERA","Imperial Shahi Jeera (Caraway / Valyajeerakam)","Fine needle-thin wild mountain caraway seeds. HSN: 09096119. Sourced & graded by KTA alone for Kashmiri Rogan Josh and royal pulao.","in stock","new","850 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/shahijeera.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CLOVES-ZANZIBAR","Zanzibar Whole Handpicked Cloves (Laung)","Head-on, bold, oil-rich Zanzibar whole cloves. HSN: 09071010. Sourced & graded by KTA alone. Zero exhausted headless spent cloves.","in stock","new","980 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/cloves.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CINNAMON-CEYLON","True Ceylon Cinnamon Quills (C5 Alba Pattai)","Delicate multi-layered thin bark quills of true Ceylon cinnamon. HSN: 09061110. Sourced & graded by KTA alone with low coumarin safety.","in stock","new","1250 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/cinnamon.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CASSIA-BARK","High-Aroma Cassia Bark Slices (Kesia Pattai)","Thick rolled aromatic cassia bark. HSN: 09061910. Sourced & graded by KTA alone. Heavy sweet pungency for biryani tempering.","in stock","new","360 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/cassia.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-STAR-ANISE","8-Pointed Autumn Star Anise (Annachipoo)","Whole unbroken 8-pointed star anise flowers with glossy seed pods. HSN: 09096115. Sourced & graded by KTA alone with rich anethole aroma.","in stock","new","820 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/staranise.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-FENNEL-SEEDS","Bold Green Fennel Seeds (Sombu / Saunf)","Machine-cleaned sweet plump green fennel seeds. HSN: 09096145. Sourced & graded by KTA alone. Naturally sweet after-taste.","in stock","new","280 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/fennel.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-NUTMEG-WHOLE","Whole Nutmeg with Shell / Kernel (Jaifal)","Dense whole nutmeg nuts with intact inner volatile oil kernel. HSN: 09081110. Sourced & graded by KTA alone.","in stock","new","780 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/nutmeg.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-MACE-BLADES","Banded Golden Mace Blades (Javantri)","Vibrant golden-orange unbroken flower mace blades. HSN: 09082100. Sourced & graded by KTA alone with ethereal spicy fragrance.","in stock","new","1950 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/mace.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-BAY-LEAF","Sun-Dried Biryani Bay Leaves (Tejpatta)","Fragrant whole unbroken Ceylon bay leaves. HSN: 09109914. Sourced & graded by KTA alone for slow dum cooking and aromatic rice.","in stock","new","180 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/bayleaf.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-STONE-FLOWER","Black Stone Flower (Kalpasi / Dagad Phool)","Wild-harvested black and silver stone lichen. HSN: 09109990. Sourced & graded by KTA alone for authentic Chettinad and Maharashtrian gravies.","in stock","new","640 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/stoneflower.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-KASURI-METHI","Fragrant Green Kasuri Methi (Nagauri Leaves)","Shadow-dried vibrant green fenugreek leaves. HSN: 09109915. Sourced & graded by KTA alone. Intense aroma and zero sand or stalks.","in stock","new","340 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/kasurimethi.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-METHI-SEEDS","Selected Whole Fenugreek Seeds (Methi)","Bold sortex-cleaned whole fenugreek seeds. HSN: 09109912. Sourced & graded by KTA alone for South Indian sambar and pickle masalas.","in stock","new","135 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/methiseeds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-MUSTARD-SEEDS","Bold Black Mustard Seeds (Kadugu / Rai)","Selected bold black mustard seeds with high popping oil vitality. HSN: 09109911. Sourced & graded by KTA alone.","in stock","new","125 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/mustardseeds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-KALONJI","Pure Black Nigella Seeds (Kalonji)","Triple-cleaned black nigella seeds. HSN: 09096149. Sourced & graded by KTA alone for naan bread crusts, pickles, and tempering.","in stock","new","360 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/nigellaseeds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-GARAM-MASALA","Royal Chef Garam Masala (Whole Spice Blend)","Master chef artisanal blend of 14 whole roasted single-origin spices. HSN: 09109100. Zero fillers, salt, or starch.","in stock","new","880 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/garam-masala.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-BIRYANI-MASALA","Royal Dum Biryani Masala (Pristine Blend)","Heritage aromatic spice blend curated for luxury hotel biryanis. HSN: 09109100. Sourced & graded by KTA alone.","in stock","new","940 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/biryani-masala.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-DRY-LEMON","Sun-Cured Black Dry Lemon (Loomi Whole)","Traditional sun-dried black lime / dry lemon. HSN: 08055000. Sourced & graded by KTA alone for authentic Arabian mandi and biryani broths.","in stock","new","520 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/dry-lemon.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-SAFFRON-MONGRA","Super Mongra Kashmiri Saffron (Grade A1)","Pristine deep crimson saffron stigmas without yellow style adulteration. HSN: 09102010. Sourced & graded by KTA alone for royal hospitality.","in stock","new","260000 INR","https://ktaspices.in/catalogue.html#spices","https://ktaspices.in/images/images/saffron.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-BADAM-ALMONDS","California Bold Whole Almonds (Badam 18/20)","Jumbo size 18/20 count premium raw California almonds. HSN: 08021200. Crisp sweet bite for luxury baking and gravies.","in stock","new","780 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/almonds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CASHEW-W320","W320 First Quality Jumbo White Cashewnuts (Kaju)","Whole unblemished W320 grade white cashew nuts. HSN: 08013100. Sourced & graded by KTA alone with creamy rich texture.","in stock","new","860 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/cashews.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-PISTA-ROASTED","California Roasted & Salted Pistachios (Pista)","Naturally opened jumbo roasted pistachios with light sea salt. HSN: 08025100. Crisp texture and emerald green kernel.","in stock","new","1150 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/pistachios.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-WALNUT-KERNELS","California Light Quarter Walnut Kernels (Akhrot)","Fresh crisp light amber walnut halves & quarters. HSN: 08023200. Rich in natural omega-3 oils. Zero rancidity.","in stock","new","1180 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/walnuts.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-RAISINS-KISMIS","Golden Long Seedless Raisins (Kismiss)","Plump sun-dried green-gold seedless raisins. HSN: 08062010. Sourced & graded by KTA alone for desserts, pulao, and confectionery.","in stock","new","340 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/raisins.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-PEANUTS-RAW","Groundnut Seeds (Selected Grade Raw Peanut)","Selected bold raw peanut kernels. HSN: 12024190. Sourced & graded by KTA alone with high natural oil content.","in stock","new","180 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/peanuts.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-PEANUTS-ROASTED","Dry Roasted Peanuts (Golden Crunch)","Uniformly dry roasted and husked golden crunchy peanuts. HSN: 20081111. Sourced & graded by KTA alone.","in stock","new","220 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/peanuts.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-SESAME-WHITE","Triple-Cleaned White Sesame Seeds (White Ellu / Til)","99.9% machine-cleaned triple sortex hulled white sesame seeds. HSN: 12074090. Sourced & graded by KTA alone.","in stock","new","260 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/sesame.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-SABJA-SEEDS","Sweet Basil Seeds (Sabja / Falooda Seeds)","High-expansion whole sweet basil seeds. HSN: 12119094. Sourced & graded by KTA alone for falooda, beverages, and cooling drinks.","in stock","new","380 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/sabja.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-CHIA-SEEDS","Premium Whole Chia Seeds (Salvia Hispanica)","Triple-cleaned whole black & white chia seeds. HSN: 12149000. Rich in soluble fiber and omega fatty acids.","in stock","new","420 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/chia.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-PUMPKIN-SEEDS","Raw Hulled Pumpkin Seeds (Pepitas / Kaddu Beej)","Vibrant green hulled raw pumpkin seeds (AA Grade). HSN: 12099990. Sourced & graded by KTA alone for bakery and salads.","in stock","new","490 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/pumpkinseeds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-SUNFLOWER-SEEDS","Raw Hulled Sunflower Seeds (Surajmukhi Beej)","Jumbo kernel hulled sunflower seeds. HSN: 12060090. Sourced & graded by KTA alone for granolas, breads, and confectionery.","in stock","new","320 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/sunflowerseeds.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-WATERMELON-SEEDS","Peeled Watermelon Seeds (Magaz / Tarbooj Beej)","Clean white shelled watermelon kernels (Magaz). HSN: 12079990. Essential for rich royal mughlai curries and Indian sweets.","in stock","new","540 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/magaz.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-ROSE-PETALS","Culinary Dried Damascena Rose Petals (Gulab Patti)","Naturally shade-dried intensely fragrant Damascena rose petals. HSN: 12119029. Pesticide-free for biryani garnishing and desserts.","in stock","new","680 INR","https://ktaspices.in/catalogue.html#dryfruits","https://ktaspices.in/images/images/rosepetals.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-GREEN-GINGER-FRESH","Green Ginger (Raw Fresh Farm-Direct Jumbo Rhizomes)","Raw fresh plump farm-direct ginger rhizomes. HSN: 09101110. Sourced & graded by KTA alone. 40kg master bags & export crates (500kg+ MOQ).","in stock","new","120 INR","https://ktaspices.in/wholesale.html","https://ktaspices.in/images/images/DryGinger.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-PEPPER-HUSK","Pepper Husk & Pepper Husk (S) Mesh Cuts","Clean sieved black pepper outer husk. High piperine resin content for seasoning extraction and oleoresin distillation (500kg+ MOQ).","in stock","new","140 INR","https://ktaspices.in/wholesale.html","https://ktaspices.in/images/images/BlackPepper.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
"KTA-LITE-BERRIES","Black Pepper Lite Berries & Pinheads","High oleoresin concentration lightweight berries and whole pinheads. Ideal for commercial spice oil & oleoresin extraction units.","in stock","new","280 INR","https://ktaspices.in/wholesale.html","https://ktaspices.in/images/images/pepperpowder.webp","KTA Spices","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Herbs & Spices"
